Part_1,Part_2,Customer_Count,Base_Confidence_%,Part1_Predecessors,Part2_Predecessors,Total_Predecessors,Supersession_Boost_%,Enhanced_Confidence_%,Confidence_Improvement_%,Part1_Match_Type,Part2_Match_Type,Has_Supersession,Annual_Revenue_Potential_$
47405930,84217229,91,91.0,0,2,2,10,100.0,10,None,Both,Yes,4550
47833556,48138563,180,100.0,0,0,0,0,100.0,0,None,None,No,9000
47833556,87682999,156,100.0,0,2,2,10,100.0,10,None,Both,Yes,7800
47833556,84565926,184,100.0,0,0,0,0,100.0,0,None,None,No,9200
47833556,84534796,166,100.0,0,0,0,0,100.0,0,None,None,No,8300
47833556,84475948,162,100.0,0,0,0,0,100.0,0,None,None,No,8100
47833556,84217229,162,100.0,0,2,2,10,100.0,10,None,Both,Yes,8100
84228488,84579126,122,100.0,0,0,0,0,100.0,0,None,None,No,6100
84228488,84412164,360,100.0,0,0,0,0,100.0,0,None,None,No,18000
84196445,90412128,179,100.0,0,0,0,0,100.0,0,None,None,No,8950
84196445,84579126,102,100.0,0,0,0,0,100.0,0,None,None,No,5100
84196445,84412164,180,100.0,0,0,0,0,100.0,0,None,None,No,9000
84196445,84228488,183,100.0,0,0,0,0,100.0,0,None,None,No,9150
47996857,84412164,158,100.0,0,0,0,0,100.0,0,None,None,No,7900
47707356,47987150,107,100.0,0,0,0,0,100.0,0,None,None,No,5350
47996857,90412128,171,100.0,0,0,0,0,100.0,0,None,None,No,8550
47707356,47880728,144,100.0,0,0,0,0,100.0,0,None,None,No,7200
47996857,84196445,138,100.0,0,0,0,0,100.0,0,None,None,No,6900
1K947-43172,HH1C0-32430,105,100.0,0,0,0,0,100.0,0,None,None,No,5250
47996857,84228488,166,100.0,0,0,0,0,100.0,0,None,None,No,8300
84579126,90412128,113,100.0,0,0,0,0,100.0,0,None,None,No,5650
84228488,90412128,315,100.0,0,0,0,0,100.0,0,None,None,No,15750
47880728,84412164,112,100.0,0,0,0,0,100.0,0,None,None,No,5600
47880728,84228488,118,100.0,0,0,0,0,100.0,0,None,None,No,5900
47880728,84196445,104,100.0,0,0,0,0,100.0,0,None,None,No,5200
48138563,84475948,212,100.0,0,0,0,0,100.0,0,None,None,No,10600
48138563,84217229,737,100.0,0,2,2,10,100.0,10,None,Both,Yes,36850
